,femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id
0,FM-5423-CO,5423,CO,FM,2021-12-30T00:00:00.000Z,2022,Fire,MARSHALL FIRE,False,False,True,True,2021-12-30T00:00:00.000Z,2022-01-07T00:00:00.000Z,,False,08,013,99013,Boulder (County),21132,,2021123101,8,,2024-08-27T18:22:14.800Z,3f0e9054a42676d0d7f75b6279f972d18c4b39bb,b8cb17aa-bb52-45b5-80ed-3dcd3e2c7486
1,DR-4634-CO,4634,CO,DR,2021-12-31T00:00:00.000Z,2022,Fire,WILDFIRES AND STRAIGHT-LINE WINDS,True,False,True,True,2021-12-30T00:00:00.000Z,2022-01-07T00:00:00.000Z,,False,08,013,99013,Boulder (County),22001,2022-03-02T00:00:00.000Z,2022010101,8,,2024-08-27T18:22:14.800Z,3f2ce967d16d48c7a12b74a1c31859243f1ed5fa,b61bd47d-de3a-4a86-887e-94595817d28f
2,DR-4581-CO,4581,CO,DR,2021-01-15T00:00:00.000Z,2021,Fire,WILDFIRES,False,False,True,True,2020-09-06T00:00:00.000Z,2020-11-05T00:00:00.000Z,,False,08,049,99049,Grand (County),20328,,2020122301,8,,2024-08-27T18:22:14.800Z,3f9db442ca63530ecfcf6603b3e4a08401ecabd5,10e97111-a9ad-4270-b86f-8ec936e0aa8c
3,DR-4581-CO,4581,CO,DR,2021-01-15T00:00:00.000Z,2021,Fire,WILDFIRES,False,False,True,True,2020-09-06T00:00:00.000Z,2020-11-05T00:00:00.000Z,,False,08,069,99069,Larimer (County),20328,,2020122301,8,,2024-08-27T18:22:14.800Z,ec0a151b3cdbe45d5eb94d018f23ec417af9533e,98e30bb6-82ac-4838-8f4e-c547fdb9006c
4,FM-5604-CO,5604,CO,FM,2025-08-06T00:00:00.000Z,2025,Fire,ELK FIRE,False,False,True,False,2025-08-02T00:00:00.000Z,,,False,08,103,99103,Rio Blanco (County),25109,,2025080701,8,R,2025-08-08T19:42:11.470Z,889b9529a11f0a115d0682b03ce22da55239cfba,b4d54825-9061-437e-89dd-6db50192d3a4
5,FM-5603-CO,5603,CO,FM,2025-08-06T00:00:00.000Z,2025,Fire,LEE FIRE,False,False,True,False,2025-08-02T00:00:00.000Z,,,False,08,103,99103,Rio Blanco (County),25108,,2025080702,8,R,2025-08-08T19:42:11.470Z,73656c8219ea708cd77945c00a931f269eae775f,28b8935e-4883-443a-877e-8fcb6441b389
6,FM-5606-CO,5606,CO,FM,2025-08-11T00:00:00.000Z,2025,Fire,OAK FIRE,False,False,True,False,2025-08-10T00:00:00.000Z,,,False,08,007,99007,Archuleta (County),25111,,2025081101,8,R,2025-08-13T13:42:02.273Z,c4308ef3ad120b43c5e354d74b016b03ba0cbf80,3fd39a94-6af3-455e-9ca6-e827c28e853f
7,FM-5526-CO,5526,CO,FM,2024-08-01T00:00:00.000Z,2024,Fire,QUARRY FIRE,False,False,True,True,2024-08-01T00:00:00.000Z,2024-08-07T00:00:00.000Z,,False,08,059,99059,Jefferson (County),24106,,2024080102,8,R,2025-01-08T20:01:25.309Z,c6eff9d2ab33acbeeab7424deae19f7de7e3288d,0d51ec82-33ec-4cf2-91ed-f689507dd98c
8,FM-5525-CO,5525,CO,FM,2024-07-31T00:00:00.000Z,2024,Fire,STONE MOUNTAIN FIRE,False,False,True,True,2024-07-30T00:00:00.000Z,2024-08-30T00:00:00.000Z,,False,08,013,99013,Boulder (County),24105,,2024073103,8,R,2025-01-08T20:01:25.309Z,692612f9b487af921c69600ef70b07fd4f95d815,212d16ff-852c-4208-9db5-ef2705e13e37
9,FM-5525-CO,5525,CO,FM,2024-07-31T00:00:00.000Z,2024,Fire,STONE MOUNTAIN FIRE,False,False,True,True,2024-07-30T00:00:00.000Z,2024-08-30T00:00:00.000Z,,False,08,069,99069,Larimer (County),24105,,2024073103,8,R,2025-01-08T20:01:25.309Z,b1ce0b36270cc6978ae4fad36df17912f5c1906a,94386e02-7bcc-4451-8999-b0af0728bd39
