,County Name,Total Pop,Urban Pop,State FIPS,County FIPS,Urban Percentage
0,"Adams County, Colorado",519572,498576,08,001,95.96
1,"Alamosa County, Colorado",16376,10965,08,003,66.96
2,"Arapahoe County, Colorado",655070,641552,08,005,97.94
3,"Archuleta County, Colorado",13359,5632,08,007,42.16
4,"Baca County, Colorado",3506,0,08,009,0.0
5,"Bent County, Colorado",5650,0,08,011,0.0
6,"Boulder County, Colorado",330758,299658,08,013,90.6
7,"Broomfield County, Colorado",74112,73819,08,014,99.6
8,"Chaffee County, Colorado",19476,10991,08,015,56.43
9,"Cheyenne County, Colorado",1748,0,08,017,0.0
10,"Clear Creek County, Colorado",9397,0,08,019,0.0
11,"Conejos County, Colorado",7461,0,08,021,0.0
12,"Costilla County, Colorado",3499,0,08,023,0.0
13,"Crowley County, Colorado",5922,0,08,025,0.0
14,"Custer County, Colorado",4704,0,08,027,0.0
15,"Delta County, Colorado",31196,8190,08,029,26.25
16,"Denver County, Colorado",715522,715418,08,031,99.99
17,"Kiowa County, Colorado",1446,0,08,061,0.0
18,"Kit Carson County, Colorado",7087,0,08,063,0.0
19,"Lake County, Colorado",7436,4538,08,065,61.03
20,"La Plata County, Colorado",55638,19114,08,067,34.35
21,"Larimer County, Colorado",359066,322283,08,069,89.76
22,"Las Animas County, Colorado",14555,8323,08,071,57.18
23,"Lincoln County, Colorado",5675,0,08,073,0.0
24,"Logan County, Colorado",21528,12278,08,075,57.03
25,"Mesa County, Colorado",155703,135973,08,077,87.33
26,"Mineral County, Colorado",865,0,08,079,0.0
27,"Moffat County, Colorado",13292,9650,08,081,72.6
28,"Montezuma County, Colorado",25849,8628,08,083,33.38
29,"Montrose County, Colorado",42679,24513,08,085,57.44
30,"Morgan County, Colorado",29111,19041,08,087,65.41
31,"Otero County, Colorado",18690,7792,08,089,41.69
32,"Ouray County, Colorado",4874,0,08,091,0.0
33,"Park County, Colorado",17390,0,08,093,0.0
34,"Phillips County, Colorado",4530,0,08,095,0.0
35,"Pitkin County, Colorado",17358,11636,08,097,67.04
36,"Prowers County, Colorado",11999,7502,08,099,62.52
37,"Pueblo County, Colorado",168162,146055,08,101,86.85
38,"Rio Blanco County, Colorado",6529,0,08,103,0.0
39,"Rio Grande County, Colorado",11539,0,08,105,0.0
40,"Routt County, Colorado",24829,14455,08,107,58.22
41,"Saguache County, Colorado",6368,0,08,109,0.0
42,"San Juan County, Colorado",705,0,08,111,0.0
43,"San Miguel County, Colorado",8072,4587,08,113,56.83
44,"Sedgwick County, Colorado",2404,0,08,115,0.0
45,"Summit County, Colorado",31055,26055,08,117,83.9
46,"Teller County, Colorado",24710,9864,08,119,39.92
47,"Elbert County, Colorado",26062,0,08,039,0.0
48,"Dolores County, Colorado",2326,0,08,033,0.0
49,"Douglas County, Colorado",357978,325708,08,035,90.99
50,"Eagle County, Colorado",55731,45415,08,037,81.49
51,"El Paso County, Colorado",730395,655526,08,041,89.75
52,"Fremont County, Colorado",48939,24737,08,043,50.55
53,"Garfield County, Colorado",61685,41874,08,045,67.88
54,"Gilpin County, Colorado",5808,0,08,047,0.0
55,"Grand County, Colorado",15717,4979,08,049,31.68
56,"Gunnison County, Colorado",16918,7228,08,051,42.72
57,"Hinsdale County, Colorado",788,0,08,053,0.0
58,"Huerfano County, Colorado",6820,0,08,055,0.0
59,"Jackson County, Colorado",1379,0,08,057,0.0
60,"Jefferson County, Colorado",582910,541241,08,059,92.85
61,"Washington County, Colorado",4817,0,08,121,0.0
62,"Weld County, Colorado",328981,263140,08,123,79.99
63,"Yuma County, Colorado",9988,0,08,125,0.0
