,sciName,comName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyCode,familyComName,familySciName,reportAs,extinct,extinctYear
0,Struthio camelus,Common Ostrich,ostric2,species,2.0,[],['COOS'],['STCA'],Struthioniformes,struth1,Ostriches,Struthionidae,,,
1,Struthio molybdophanes,Somali Ostrich,ostric3,species,7.0,[],['SOOS'],['STMO'],Struthioniformes,struth1,Ostriches,Struthionidae,,,
2,Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,8.0,[],"['SOOS', 'COOS']","['STMO', 'STCA']",Struthioniformes,struth1,Ostriches,Struthionidae,,,
3,Casuarius casuarius,Southern Cassowary,soucas1,species,10.0,[],['SOCA'],['CACA'],Casuariiformes,casuar1,Cassowaries and Emu,Casuariidae,,,
4,Casuarius bennetti,Dwarf Cassowary,dwacas1,species,11.0,[],['DWCA'],['CABE'],Casuariiformes,casuar1,Cassowaries and Emu,Casuariidae,,,
5,Casuarius unappendiculatus,Northern Cassowary,norcas1,species,14.0,[],['NOCA'],['CAUN'],Casuariiformes,casuar1,Cassowaries and Emu,Casuariidae,,,
6,Dromaius novaehollandiae,Emu,emu1,species,15.0,[],"['EMU', 'COEM']",['DRNO'],Casuariiformes,casuar1,Cassowaries and Emu,Casuariidae,,,
7,Apteryx australis,Southern Brown Kiwi,sobkiw1,species,21.0,[],['SBKI'],['APAU'],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
8,Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,issf,22.0,[],['SBKI'],['APAU'],Apterygiformes,aptery1,Kiwis,Apterygidae,sobkiw1,,
9,Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,issf,23.0,[],['SBKI'],['APAU'],Apterygiformes,aptery1,Kiwis,Apterygidae,sobkiw1,,
10,Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,24.0,[],"['OBKI', 'OKKI']",['APRO'],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
11,Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,25.0,[],['NIBK'],['APMA'],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
12,Apteryx australis x mantelli,Southern Brown x North Island Brown Kiwi (hybrid),x01217,hybrid,26.0,[],"['NIBK', 'SBKI']","['APAU', 'APMA']",Apterygiformes,aptery1,Kiwis,Apterygidae,,,
13,Apteryx owenii,Little Spotted Kiwi,liskiw1,species,27.0,[],['LSKI'],['APOW'],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
14,Apteryx rowi x owenii,Okarito Brown x Little Spotted Kiwi (hybrid),x01059,hybrid,28.0,[],"['OBKI', 'LSKI', 'OKKI']","['APOW', 'APRO']",Apterygiformes,aptery1,Kiwis,Apterygidae,,,
15,Apteryx maxima,Great Spotted Kiwi,grskiw1,species,29.0,[],['GSKI'],['APMA'],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
16,Apteryx sp.,kiwi sp.,kiwi1,spuh,30.0,[],[],[],Apterygiformes,aptery1,Kiwis,Apterygidae,,,
17,Rhea americana,Greater Rhea,grerhe1,species,32.0,[],['GRRH'],['RHAM'],Rheiformes,rheida1,Rheas,Rheidae,,,
18,Rhea pennata,Lesser Rhea,lesrhe2,species,38.0,[],['LERH'],['RHPE'],Rheiformes,rheida1,Rheas,Rheidae,,,
19,Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,39.0,[],['LERH'],['RHPE'],Rheiformes,rheida1,Rheas,Rheidae,lesrhe2,,
20,Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,42.0,[],['LERH'],['RHPE'],Rheiformes,rheida1,Rheas,Rheidae,lesrhe2,,
21,Tinamotis pentlandii,Puna Tinamou,puntin1,species,44.0,[],['PUTI'],['TIPE'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
22,Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,45.0,[],['PATI'],['TIIN'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
23,Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,46.0,[],"['QCTI', 'QUCT']",['EUFO'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
24,Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,49.0,[],"['ELCT', 'ECTI']",['EUEL'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
25,Eudromia elegans [intermedia Group],Elegant Crested-Tinamou (Northern),elecrt11,issf,50.0,[],"['ELCT', 'ECTI']",['EUEL'],Tinamiformes,tinami1,Tinamous,Tinamidae,elctin1,,
26,Eudromia elegans [elegans Group],Elegant Crested-Tinamou (Southern),elecrt12,issf,54.0,[],"['ELCT', 'ECTI']",['EUEL'],Tinamiformes,tinami1,Tinamous,Tinamidae,elctin1,,
27,Taoniscus nanus,Dwarf Tinamou,dwatin1,species,62.0,[],['DWTI'],['TANA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
28,Nothura boraquira,White-bellied Nothura,whbnot1,species,63.0,[],['WBNO'],['NOBO'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
29,Nothura minor,Lesser Nothura,lesnot1,species,64.0,[],['LENO'],['NOMI'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
30,Nothura darwinii,Darwin's Nothura,darnot1,species,65.0,[],['DANO'],['NODA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
31,Nothura maculosa,Spotted Nothura,sponot1,species,71.0,[],['SPNO'],['NOMA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
32,Nothura boraquira/maculosa,White-bellied/Spotted Nothura,y01225,slash,81.0,[],"['SPNO', 'WBNO']","['NOMA', 'NOBO']",Tinamiformes,tinami1,Tinamous,Tinamidae,,,
33,Nothura minor/maculosa,Lesser/Spotted Nothura,y01226,slash,82.0,[],"['SPNO', 'LENO']","['NOMA', 'NOMI']",Tinamiformes,tinami1,Tinamous,Tinamidae,,,
34,Nothura darwinii/maculosa,Darwin's/Spotted Nothura,y01375,slash,83.0,[],"['SPNO', 'DANO']","['NOMA', 'NODA']",Tinamiformes,tinami1,Tinamous,Tinamidae,,,
35,Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,84.0,[],['HUTI'],['RHMA'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
36,Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,85.0,[],['RWTI'],['RHRU'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
37,Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,89.0,[],['BRTI'],['NOCI'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
38,Nothoprocta pentlandii,Andean Tinamou,andtin1,species,92.0,[],['ANTI'],['NOPE'],Tinamiformes,tinami1,Tinamous,Tinamidae,,,
